brand,model,prod_year,mileage,engine_capacity,fuel_type,power,gearbox,body_type,doors,seats,color,condition,price
Peugeot,308,2013,147 000 km,1 560 cm3,Diesel,115 KM,Manualna,Kompakt,5.0,5.0,Srebrny,Używane,39 999        PLN
Peugeot,206,2002,171 026 km,1 587 cm3,Benzyna,110 KM,Manualna,Auta miejskie,3.0,5.0,Srebrny,Używane,3 990        PLN
Peugeot,308,2020,37 770 km,1 997 cm3,Diesel,177 KM,Automatyczna,Kompakt,5.0,5.0,Szary,Używane,114 990        PLN
Peugeot,208,2022,10 km,,Elektryczny,136 KM,Automatyczna,Auta miejskie,5.0,5.0,Żółty,Nowe,157 900        PLN
Peugeot,3008,2016,199 000 km,1 560 cm3,Diesel,120 KM,Automatyczna,Minivan,5.0,5.0,Szary,Używane,41 990        PLN
Peugeot,5008,2022,18 900 km,1 499 cm3,Diesel,130 KM,Automatyczna,Minivan,5.0,7.0,Czarny,Używane,164 900        PLN
Peugeot,2008,2021,12 000 km,1 199 cm3,Benzyna,130 KM,Automatyczna,SUV,5.0,5.0,Inny kolor,Używane,116 900        PLN
Peugeot,5008,2014,144 284 km,1 560 cm3,Diesel,114 KM,Manualna,Minivan,5.0,7.0,Biały,Używane,46 000        PLN
Peugeot,308,2009,204 000 km,1 560 cm3,Diesel,109 KM,Manualna,Kompakt,5.0,5.0,Niebieski,Używane,16 900        PLN
Peugeot,308,2015,164 300 km,1 997 cm3,Diesel,150 KM,Automatyczna,Kombi,5.0,5.0,Szary,Używane,39 000        PLN
Peugeot,2008,2020,37 729 km,1 199 cm3,Benzyna,100 KM,Manualna,SUV,5.0,5.0,Inny kolor,Używane,93 000        PLN
Peugeot,301,2018,169 198 km,1 587 cm3,Benzyna+LPG,115 KM,Manualna,Sedan,5.0,5.0,Szary,Używane,34 000        PLN
Peugeot,5008,2020,65 000 km,1 499 cm3,Diesel,130 KM,Manualna,Minivan,5.0,7.0,Biały,Używane,114 900        PLN
Peugeot,Partner,2008,205 000 km,1 560 cm3,Diesel,90 KM,Manualna,Minivan,4.0,5.0,Inny kolor,Używane,20 900        PLN
Peugeot,307,2007,257 000 km,1 360 cm3,Benzyna,88 KM,Manualna,Auta miejskie,5.0,5.0,Beżowy,Używane,11 900        PLN
Peugeot,Partner,2011,198 000 km,1 560 cm3,Diesel,92 KM,Manualna,Minivan,5.0,5.0,Szary,Używane,25 500        PLN
Peugeot,508,2011,360 170 km,1 997 cm3,Diesel,163 KM,Automatyczna,Sedan,4.0,5.0,Srebrny,Używane,26 900        PLN
Peugeot,508,2017,233 330 km,1 997 cm3,Diesel,150 KM,Manualna,Kombi,5.0,5.0,Srebrny,Używane,59 900        PLN
Peugeot,4008,2012,171 500 km,1 800 cm3,Diesel,150 KM,Manualna,SUV,5.0,5.0,Szary,Używane,38 000        PLN
Peugeot,308,2011,232 333 km,1 560 cm3,Diesel,112 KM,Manualna,Kompakt,5.0,5.0,Inny kolor,Używane,22 900        PLN
Peugeot,508,2014,217 000 km,1 997 cm3,Diesel,140 KM,Manualna,Kombi,5.0,5.0,Biały,Używane,29 990        PLN
Peugeot,508,2016,209 998 km,1 997 cm3,Diesel,180 KM,Automatyczna,Kombi,5.0,5.0,Biały,Używane,56 900        PLN
Peugeot,208,2014,118 100 km,1 560 cm3,Diesel,115 KM,Manualna,Auta miejskie,3.0,5.0,Czarny,Używane,41 500        PLN
Peugeot,RCZ,2013,163 000 km,1 997 cm3,Diesel,163 KM,Manualna,Coupe,2.0,,Czarny,Używane,45 550        PLN
Peugeot,3008,2018,60 000 km,1 598 cm3,Benzyna,165 KM,Automatyczna,SUV,5.0,5.0,Inny kolor,Używane,104 900        PLN
Peugeot,508,2017,199 000 km,1 997 cm3,Diesel,150 KM,Manualna,Kombi,5.0,5.0,Biały,Używane,56 457        PLN
Peugeot,508,2020,199 000 km,1 997 cm3,Diesel,177 KM,Automatyczna,Kombi,5.0,5.0,Biały,Używane,110 577        PLN
Peugeot,308 CC,2010,181 200 km,1 560 cm3,Diesel,112 KM,Manualna,Kabriolet,2.0,,Biały,Używane,25 900        PLN
Peugeot,Traveller,2019,166 000 km,1 997 cm3,Diesel,177 KM,Automatyczna,Minivan,5.0,8.0,Srebrny,Używane,157 500        PLN
Peugeot,508,2015,164 175 km,1 560 cm3,Diesel,120 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Używane,39 900        PLN
Peugeot,207,2010,40 000 km,1 398 cm3,Diesel,68 KM,Manualna,Auta miejskie,5.0,5.0,Szary,Używane,17 900        PLN
Peugeot,308,2015,160 000 km,1 560 cm3,Diesel,115 KM,Manualna,Kombi,5.0,,Inny kolor,Używane,37 900        PLN
Peugeot,308,2017,51 500 km,1 598 cm3,Benzyna,205 KM,Manualna,Kombi,5.0,5.0,Czarny,Używane,69 900        PLN
Peugeot,3008,2015,216 000 km,1 560 cm3,Diesel,120 KM,Automatyczna,SUV,5.0,5.0,Srebrny,Używane,39 900        PLN
Peugeot,508,2015,292 000 km,1 560 cm3,Diesel,120 KM,Automatyczna,Kombi,5.0,5.0,Czarny,Używane,26 000        PLN
Peugeot,407,2008,163 180 km,1 560 cm3,Diesel,109 KM,Manualna,Sedan,4.0,5.0,Szary,Używane,15 000        PLN
Peugeot,308,2014,116 357 km,1 199 cm3,Benzyna,130 KM,Manualna,Kompakt,5.0,5.0,Czarny,Używane,38 000        PLN
Peugeot,208,2016,215 000 km,1 199 cm3,Benzyna,110 KM,Manualna,Auta miejskie,5.0,5.0,Granatowy,Używane,39 999        PLN
